name,x,y,z,a,b,c
P_start,44.550,52.500,80,118,89,121
P0,44.550,52.500,0,118,89,121
P1,59.400,52.500,0,118,89,121
P2,74.250,52.500,0,118,89,121
P3,74.250,63.000,0,118,89,121
P4,74.250,73.500,0,118,89,121
P5,74.250,84.000,0,118,89,121
P6,74.250,94.500,0,118,89,121
P7,74.250,105.000,0,118,89,121
P8,74.250,115.500,0,118,89,121
P9,89.100,115.500,0,118,89,121
P10,103.950,115.500,0,118,89,121
P11,118.800,115.500,0,118,89,121
P12,118.800,105.000,0,118,89,121
P13,118.800,94.500,0,118,89,121
P14,118.800,84.000,0,118,89,121
P15,118.800,73.500,0,118,89,121
P16,133.650,73.500,0,118,89,121
P17,148.500,73.500,0,118,89,121
P18,163.350,73.500,0,118,89,121
P19,163.350,84.000,0,118,89,121
P20,163.350,94.500,0,118,89,121
P21,163.350,105.000,0,118,89,121
P22,163.350,115.500,0,118,89,121
P23,163.350,126.000,0,118,89,121
P24,163.350,136.500,0,118,89,121
P25,163.350,147.000,0,118,89,121
P26,163.350,157.500,0,118,89,121
P27,178.200,157.500,0,118,89,121
P28,193.050,157.500,0,118,89,121
P29,207.900,157.500,0,118,89,121
P30,207.900,147.000,0,118,89,121
P31,207.900,136.500,0,118,89,121
P32,207.900,126.000,0,118,89,121
P33,207.900,115.500,0,118,89,121
P34,207.900,105.000,0,118,89,121
P35,207.900,94.500,0,118,89,121
P36,222.750,94.500,0,118,89,121
P37,237.600,94.500,0,118,89,121
P38,252.450,94.500,0,118,89,121
P39,252.450,105.000,0,118,89,121
P40,252.450,115.500,0,118,89,121
P41,252.450,126.000,0,118,89,121
P42,252.450,136.500,0,118,89,121
P43,252.450,147.000,0,118,89,121
P_END,252.450,147.000,80,118,89,121
