name,x,y,z,a,b,c
P2,364.669891,0.007803,722.901001,89.928078,89.001137,89.926323
P3,300.002258,0.004739,500.002991,50.001419,49.999763,90.000488
P4,264.669891,0.007803,622.901001,89.928078,89.001137,89.926323
P5,0.0,0.0,0.0,0.0,0.0,0.0
P99,300.0,0.0,500.0,50.000862,50.0,90.000504
P77,300.0,0.0,550.0,50.000862,50.0,90.000504
1,299.999786,0.005661,550.009155,50.001789,49.999939,89.99971
3,300.0,0.0,550.0,50.000862,50.0,90.000504
2,299.999786,0.005661,550.009155,50.001789,49.999939,89.99971
P1,264.669128,0.010722,622.903625,89.888855,89.001862,89.886452
P100,364.669891,200.007803,622.901001,89.928078,89.001137,89.926323
P101,364.669891,100.007803,422.901001,89.928078,89.001137,89.926323
H1,438,20,184,118,89,121
H2,338,20,184,118,89,121
H3,288,70,184,128,89,121
H4,338,120,184,118,89,121
H5,438,120,184,118,89,121
startpose,320,0,496,-178.79,28.91,-178.24
xp1,-151.198578,-315.148224,380.186432,-124.007355,88.1917,-34.5916290
xp2,-151.218323,-427.007324,380.174255,-124.148247,88.1871719,-34.7418480
xp3,-151.218323,-427.007324,358.023468,-124.148247,88.1871719,-34.7418480
H0,428,20,254,118,89,121
H5_1,428,120,274,118,89,121
home1,319.431274,-6.399033,496.261719,-178.79454,28.91267,-178.418991
Start,439.80,-3.20,301.30,-122.29,87.50,-123.95
end_point,282.02,255.17,301.30,-122.29,87.50,-123.95
